date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:13	97584/97584	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2009:26:14%20GMT	https://www.lvpei.org/	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/index.html	(from )
14:56:13	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Sep%202025%2009:26:14%20GMT	https://www.lvpei.org/robots.txt		(from )
14:56:13	211036/211036	---MCZ	200	added ('OK')	text/javascript	etag:W/%223385c-YO7AUWY+QyiHklL/vJg+wqmYuL0%22	https://platform-api.sharethis.com/js/sharethis.js	D:/Ai%20Chatbot/My_Bot_v1/platform-api.sharethis.com/js/sharethis.js	(from https://www.lvpei.org/)
14:56:13	97159/97159	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2011:43:34%20GMT	https://www.lvpei.org/assets/js/jquery.js	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/js/jquery.js	(from https://www.lvpei.org/)
14:56:14	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Ai%20Chatbot/My_Bot_v1/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.lvpei.org/)
14:56:14	3140/3140	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Feb%202019%2007:39:52%20GMT	https://www.lvpei.org/assets/images/favicon-16x16.png	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/images/favicon-16x16.png	(from https://www.lvpei.org/)
14:56:14	142205/142205	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Jun%202019%2009:55:44%20GMT	https://www.lvpei.org/assets/site/css/bootstrap.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/bootstrap.css	(from https://www.lvpei.org/)
14:56:15	305244/305244	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Oct%202024%2009:20:30%20GMT	https://www.lvpei.org/assets/site/css/style.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/style.css	(from https://www.lvpei.org/)
14:56:15	813/813	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Oct%202018%2010:07:29%20GMT	https://www.lvpei.org/assets/site/css/custom.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/custom.css	(from https://www.lvpei.org/)
14:56:15	17460/17460	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:29:46%20GMT	https://www.lvpei.org/assets/site/css/swiper.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/swiper.css	(from https://www.lvpei.org/)
14:56:15	56783/56783	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202020%2012:35:13%20GMT	https://www.lvpei.org/assets/site/css/dark.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/dark.css	(from https://www.lvpei.org/)
14:56:15	49098/49098	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:29:42%20GMT	https://www.lvpei.org/assets/site/css/font-icons.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/font-icons.css	(from https://www.lvpei.org/)
14:56:15	9163/9163	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:29:36%20GMT	https://www.lvpei.org/assets/site/css/medical-icons.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/medical-icons.css	(from https://www.lvpei.org/)
14:56:16	67519/67519	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:29:38%20GMT	https://www.lvpei.org/assets/site/css/animate.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/animate.css	(from https://www.lvpei.org/)
14:56:16	7374/7374	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:29:43%20GMT	https://www.lvpei.org/assets/site/css/magnific-popup.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/magnific-popup.css	(from https://www.lvpei.org/)
14:56:16	46527/46527	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Jan%202022%2006:30:43%20GMT	https://www.lvpei.org/assets/site/css/responsive.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/responsive.css	(from https://www.lvpei.org/)
14:56:16	14538/14538	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Oct%202018%2011:27:57%20GMT	https://www.lvpei.org/assets/site/css/components/bs-switches.css	D:/Ai%20Chatbot/My_Bot_v1/www.lvpei.org/assets/site/css/components/bs-switches.css	(from https://www.lvpei.org/)
